,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
58,ASHMORE,Ashmore  #1,at park entrance on gunnison,4807 W GUNNISON ST,5.38,4/4/17,,,19.2,6/8/17,,,,,32.9,49.5,11,41.9685331,-87.7778497
59,ASPEN,Aspen  #1 - High,inside entrance,4237 S WABASH AVE,2,4/27/17,,,,,,,,,2,,,41.8674884,-87.6258201
60,ASPEN,Aspen  #1 - Low,inside entrance,4237 S WABASH AVE,2,4/27/17,,,,,,,,,2.2,,,41.8674884,-87.6258201
61,ASTER,Aster  #1,at entrance,4639 N KENMORE AVE,2,4/27/17,,,,,,,,,9.7,,,41.9923419,-87.65688
62,ATHLETIC FIELD,Athletic Field  #1,"northeast corner of fieldhouse, on path",3546 W ADDISON ST,7.07,4/22/17,,,129,6/26/17,,,,,47.5,45,42,41.9467196,-87.71700695
63,ATHLETIC FIELD,Athletic Field  #2 - High,in playground,3546 W ADDISON ST,2,4/22/17,,,,,,,,,0.12,,,41.9467196,-87.71700695
64,ATHLETIC FIELD,Athletic Field  #2 - Middle,in playground,3546 W ADDISON ST,2,4/22/17,,,,,,,,,0.12,,,41.9467196,-87.71700695
65,ATHLETIC FIELD,Athletic Field  #2 - Low,in playground,3546 W ADDISON ST,2,4/22/17,,,,,,,,,0.12,,,41.9467196,-87.71700695
66,AUGUSTA (CARPENTER),Augusta  #1 - High,west side of playground,4431 W AUGUSTA BLVD,2,4/8/17,,,,,,,,,0.769,,,41.8985495,-87.73734213
67,AUGUSTA (CARPENTER),Augusta  #1 - Middle,west side of playground,4431 W AUGUSTA BLVD,2,4/8/17,,,,,,,,,0.769,,,41.8985495,-87.73734213
68,AUGUSTA (CARPENTER),Augusta  #1 - Low,west side of playground,4431 W AUGUSTA BLVD,2,4/8/17,,,,,,,,,0.789,,,41.8985495,-87.73734213
69,AUSTIN FOSTER,Austin Foster #1 - High,north of playground,6020 W FOSTER AVE,8.64,4/7/17,,,7.24,6/15/17,,,,,20.6,28.6,12.7,41.9755065,-87.7306743
70,AUSTIN FOSTER,Austin Foster #1 - Low,north of playground,6020 W FOSTER AVE,8.35,4/7/17,,,8.24,6/15/17,,,,,51,18.4,31.6,41.9755065,-87.7306743
71,AUSTIN TOWN HALL,Austin Town Hall  #1,on street at lake entrance,5610 W LAKE ST,3.3,4/7/17,,,,,,,,,2.41,,,41.88847085,-87.76580571
72,AVALON,Avalon  #1,"west of west path, north of playground",1215 E 83RD ST,2,4/29/17,,,,,,,,,7.9,,,41.74362195,-87.59427432
73,AVALON,Avalon  #2 - High,"west of west path, within playground",1215 E 83RD ST,2,4/29/17,,,,,,,,,2,,,41.74362195,-87.59427432
74,AVALON,Avalon  #2 - Low,"west of west path, within playground",1215 E 83RD ST,2,4/29/17,,,,,,,,,2.7,,,41.74362195,-87.59427432
75,AVALON,Avalon  #3 - High,"southwest corner, east of path and tennis courts",1215 E 83RD ST,11.9,4/29/17,,,5.44,6/28/17,,,,,1800,3100,65,41.74362195,-87.59427432
76,AVALON,Avalon  #3 - Low,"southwest corner, east of path and tennis courts",1215 E 83RD ST,14.2,4/29/17,,,5.39,6/28/17,,,,,1200,1100,65,41.74362195,-87.59427432
77,AVALON,Avalon  #4 - High,center path between athletic fields near south end,1215 E 83RD ST,5.42,4/29/17,,,8.67,6/28/17,,,,,270,360,13,41.74362195,-87.59427432
78,AVALON,Avalon  #4 - Low,center path between athletic fields near south end,1215 E 83RD ST,5.29,4/29/17,,,8.57,6/28/17,,,,,400,360,13,41.74362195,-87.59427432
79,AVALON,Avalon  #5 - High,"east path near parking lot, north of pool",1215 E 83RD ST,68.5,4/29/17,12.3,6/13/17,11.8,6/30/17,31,7/25/17,,,150,240,400,41.74362195,-87.59427432
80,AVALON,Avalon  #5 - Low,"east path near parking lot, north of pool",1215 E 83RD ST,63.5,4/29/17,11.3,6/13/17,11.6,6/30/17,,,,,170,280,390,41.74362195,-87.59427432
81,AVALON,Avalon  #6 - High,pool deck near shower building,1215 E 83RD ST,2,4/29/17,2,6/2/17,2,6/28/17,2,6/29/17,,,8.2,,,41.74362195,-87.59427432
82,AVALON,Avalon  #6 - Low,pool deck near shower building,1215 E 83RD ST,41,4/29/17,2,6/2/17,2,6/28/17,,,,,15,,,41.74362195,-87.59427432
83,AVONDALE,Avondale  #1,pool deck,3516 W SCHOOL ST,2.39,6/2/17,,,,,,,,,0.457,,,41.9412692,-87.7152621
84,AVONDALE,Avondale  #2,east of fieldhouse,3516 W SCHOOL ST,3.09,4/18/17,,,,,,,,,9.52,,,41.9412692,-87.7152621
85,BACK OF THE YARDS,Back of the Yards  #1 - High,inside 49th street entrance,4920 S THROOP ST,2,6/9/17,,,,,,,,,,,,41.7513798,-87.6553684
86,BACK OF THE YARDS,Back of the Yards  #1 - Low,inside 49th street entrance,4920 S THROOP ST,2,6/9/17,,,,,,,,,,,,41.7513798,-87.6553684
87,BARNARD (ERASTUS),Barnard  #1,northwest corner on path,10441 S LONGWOOD DR,2.84,4/17/17,,,,,,,,,14,,,41.7210512,-87.6691255
88,BARNARD (ERASTUS),Barnard  #2 - High,playground,10441 S LONGWOOD DR,2,4/17/17,,,,,,,,,6.11,,,41.7210512,-87.6691255
89,BARNARD (ERASTUS),Barnard  #2 - Low,playground,10441 S LONGWOOD DR,2,4/17/17,,,,,,,,,15.5,26,2.6,41.7210512,-87.6691255
