park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
"PARK NO. 572 (Bloomingdale Trail ""606"")",Bloomingdale Trail  #3 - High,At Maplewood,1600-3750 W BLOOMINGDALE AVE,<2.0,4/10/17,,,,,,,,,0.186,,
"PARK NO. 572 (Bloomingdale Trail ""606"")",Bloomingdale Trail  #3 - Middle,At Maplewood,1600-3750 W BLOOMINGDALE AVE,<2.0,4/10/17,,,,,,,,,0.248,,
"PARK NO. 572 (Bloomingdale Trail ""606"")",Bloomingdale Trail  #3 - Low,At Maplewood,1600-3750 W BLOOMINGDALE AVE,<2.0,4/10/17,,,,,,,,,0.167,,
PARK NO. 574,Park 574 #1 - High,"East side of park, near Maplewood and Adams",2554 W JACKSON BLVD,<2.0,4/11/17,,,,,,,,,<2.0,,
PARK NO. 574,Park 574 #1 - Middle,"East side of park, near Maplewood and Adams",2554 W JACKSON BLVD,<2.0,4/11/17,,,,,,,,,<2.0,,
PARK NO. 574,Park 574 #1 - Low,"East side of park, near Maplewood and Adams",2554 W JACKSON BLVD,<2.0,4/11/17,,,,,,,,,<2.0,,
PARK WEST,Park West #1 - High,AT ENTRANCE ON WRIGHTWOOD,745 W WRIGHTWOOD AVE,6.42,4/24/17,,,11.8,7/10/17,16,7/31/17,,,83,93,11
PARK WEST,Park West #1 - Low,AT ENTRANCE ON WRIGHTWOOD,745 W WRIGHTWOOD AVE,6.41,4/24/17,,,13.7,7/10/17,,,,,66,96,12
PARK-VIEW,Park-View  #1 - High,South end of park,3823 W SCHOOL ST,34.3,4/18/17,17.5,6/14/17,,,,,,,120,110,110
PARK-VIEW,Park-View  #1 - Low,South end of park,3823 W SCHOOL ST,34.7,4/18/17,15.3,6/14/17,,,,,,,109,110,110
PARSONS (LUCY),Parsons  #1 - High,Near park entrance on Belmont,4701 W BELMONT AVE,<2.0,4/13/17,,,,,,,,,0.629,,
PARSONS (LUCY),Parsons  #1 - Middle,Near park entrance on Belmont,4701 W BELMONT AVE,<2.0,4/13/17,,,,,,,,,0.514,,
PARSONS (LUCY),Parsons  #1 - Low,Near park entrance on Belmont,4701 W BELMONT AVE,<2.0,4/13/17,,,,,,,,,0.4933,,
PASCHEN (CHRISTIAN),Paschen  #1,WEST OF PLAYGROUND,1932 W LUNT AVE,5.5,4/25/17,,,29.1,7/12/17,,,,,77,35,17
PASTEUR (LOUIS),Pasteur  #1,"NORTHWEST CORNER, AT 57TH AND KOSTNER",5825 S KOSTNER AVE,2.07,4/3/17,,,,,,,,,5.03,,
PASTEUR (LOUIS),Pasteur  #2,"SOUTH OF FIELDHOUSE, ON PATH",5825 S KOSTNER AVE,<2.0,4/3/17,,,19.1,6/28/17,,,,,30.1,8.33,1.52
PENDLETON (HADIYA),Pendleton  #1 - High,(Loc. Needed),4347 S CALUMET AVE,<2.0,6/14/17,,,<2.0,7/18/17,,,,,-,,
PENDLETON (HADIYA),Pendleton  #1 - Middle,(Loc. Needed),4347 S CALUMET AVE,<2.0,6/14/17,,,<2.0,7/18/17,,,,,-,,
PENDLETON (HADIYA),Pendleton  #1 - Low,(Loc. Needed),4347 S CALUMET AVE,<2.0,6/14/17,,,<2.0,7/18/17,,,,,-,,
PERIWINKLE,Periwinkle  #1 - High,ENTRANCE AT 66TH AND LAYFAYETTE,30 W 66TH ST,7.98,4/12/17,,,14,6/29/17,3,7/25/17,,,77.4,110,12
PERIWINKLE,Periwinkle  #1 - Low,ENTRANCE AT 66TH AND LAYFAYETTE,30 W 66TH ST,8.06,4/12/17,,,46.2,6/29/17,,,,,67.3,110,11
PETERSON (PEHR SAMUEL),Peterson  #1,"West of north baseball diamond, east of basketball court, on path",5801 N PULASKI RD,5.61,4/13/17,,,140,7/20/17,,,,,50.5,140,19
PETERSON (PEHR SAMUEL),Peterson  #2,Behind home plate of south baseball diamond,5801 N PULASKI RD,<2.0,4/13/17,,,50.6,7/20/17,,,,,53.1,51,17
PETERSON (PEHR SAMUEL),Peterson  #3,"By playlot, east of fieldhouse",5801 N PULASKI RD,2.39,4/13/17,,,,,,,,,2.61,,
PIETROWSKI (SYLVESTER),Pietrowski  #1 - High,NORTHWEST CORNER OF COMFORT STATION,9650 S AVENUE M,4.89,5/4/17,,,,,,,,,7.7,,
PIETROWSKI (SYLVESTER),Pietrowski  #1 - Low,NORTHWEST CORNER OF COMFORT STATION,9650 S AVENUE M,4.91,5/4/17,,,,,,,,,7.8,,
PINE,Pine  #1 - High,CENTER OF PARK,9507 S OGLESBY AVE,6.3,5/4/17,,,,,,,,,2.8,,
PINE,Pine  #1 - Low,CENTER OF PARK,9507 S OGLESBY AVE,7.02,5/4/17,,,,,,,,,2.8,,
PIOTROWSKI (LILLIAN),Piotrowski  #1 - High,Southwest corner of parking lot,4247 W 31ST ST,<2.0,4/13/17,,,,,,,,,<0.12,,
PIOTROWSKI (LILLIAN),Piotrowski  #1 - Low,Southwest corner of parking lot,4247 W 31ST ST,<2.0,4/13/17,,,,,,,,,<0.12,,
PIOTROWSKI (LILLIAN),Piotrowski  #2 - High,Southeast corner of playground,4247 W 31ST ST,<2.0,4/13/17,,,,,,,,,<0.12,,
PIOTROWSKI (LILLIAN),Piotrowski  #2 - Middle,Southeast corner of playground,4247 W 31ST ST,<2.0,4/13/17,,,,,,,,,<0.12,,
PIOTROWSKI (LILLIAN),Piotrowski  #2 - Low,Southeast corner of playground,4247 W 31ST ST,<2.0,4/13/17,,,,,,,,,<0.12,,
PIOTROWSKI (LILLIAN),Piotrowski  #3 - High,Diamond #4,4247 W 31ST ST,<2.0,4/13/17,,,12.3,7/15/17,,,,,12.5,,
PIOTROWSKI (LILLIAN),Piotrowski  #3 - Low,Diamond #4,4247 W 31ST ST,<2.0,4/13/17,,,15.1,7/15/17,,,,,22,14,4.5
PIOTROWSKI (LILLIAN),Piotrowski  #4 - High,Diamond #1,4247 W 31ST ST,4.68,4/13/17,,,83.2,7/15/17,,,,,52.6,37,16
PIOTROWSKI (LILLIAN),Piotrowski  #4 - Low,Diamond #1,4247 W 31ST ST,3.6,4/13/17,,,25.9,7/15/17,,,,,31.6,58,16
PIOTROWSKI (LILLIAN),Piotrowski  #5 - High,Diamond #6,4247 W 31ST ST,7.28,4/13/17,,,,,,,,,1.75,,
PIOTROWSKI (LILLIAN),Piotrowski  #5 - Low,Diamond #6,4247 W 31ST ST,7.19,4/13/17,,,,,,,,,1.22,,
PIOTROWSKI (LILLIAN),Piotrowski  #6 - High,Diamond #3,4247 W 31ST ST,2.77,4/13/17,,,72.3,7/15/17,,,,,12,,
PIOTROWSKI (LILLIAN),Piotrowski  #6 - Low,Diamond #3,4247 W 31ST ST,2.68,4/13/17,,,30.9,7/15/17,,,,,15.7,17,<2.0
PLEASANT POINT,Pleasant Point #1 - High,"South of basketball court, on Newcastle entrance",6813 W IMLAY ST,<2.0,3/29/17,,,,,,,,,2.16,,
PLEASANT POINT,Pleasant Point #1 - Middle,"South of basketball court, on Newcastle entrance",6813 W IMLAY ST,< 2.0,7/19/17,,,,,,,,,2.55,,
PLEASANT POINT,Pleasant Point #1 - Low,"South of basketball court, on Newcastle entrance",6813 W IMLAY ST,< 2.0,7/19/17,,,,,,,,,2.16,,
POPLAR,Poplar  #1 - High,Inside park entrance,4046 S PRAIRIE AVE,6.24,4/27/17,,,2.61,6/28/17,,,,,15,,
POPLAR,Poplar  #1 - Low,Inside park entrance,4046 S PRAIRIE AVE,6.29,4/27/17,,,2.9,6/28/17,,,,,15,,
PORTAGE,Portage  #1 - High,Corner of Central and Berteau,4100 N LONG AVE,6.66,4/4/17,,,75.9,6/29/17,,,,,92.4,139,9.18
PORTAGE,Portage  #1 - Low,Corner of Central and Berteau,4100 N LONG AVE,4.65,4/4/17,,,123,6/29/17,,,,,102,139,5.8
PORTAGE,Portage  #2 - High,Dog area,4100 N LONG AVE,<2.0,4/4/17,,,,,,,,,0.372,,
PORTAGE,Portage  #2 - Low,Dog area,4100 N LONG AVE,<2.0,4/4/17,,,,,,,,,0.345,,
PORTAGE,Portage  #2 - Dog,Dog area,4100 N LONG AVE,<2.0,4/4/17,,,,,,,,,0.575,,
PORTAGE,Portage  #3,Tennis court,4100 N LONG AVE,4.24,4/4/17,,,4.89,6/29/17,,,,,59,12,12.7
PORTAGE,Portage  #4 - High,"South of tennis court, on path",4100 N LONG AVE,2.21,4/4/17,,,,,,,,,1.83,,
PORTAGE,Portage  #4 - Low,"South of tennis court, on path",4100 N LONG AVE,<2.0,4/4/17,,,,,,,,,1.58,,
PORTAGE,Portage  #5 - High,"Pool deck, north",4100 N LONG AVE,<2.0,4/4/17,,,,,,,,,1.85,,
PORTAGE,Portage  #5 - Low,"Pool deck, north",4100 N LONG AVE,<2.0,4/4/17,,,,,,,,,2.43,,
PORTAGE,Portage  #6,"Southwest of fieldhouse, on path",4100 N LONG AVE,2.99,4/4/17,,,20.2,6/29/17,,,,,39.5,30.1,10.3
PORTAGE,Portage  #7 - High,"Pool deck, south",4100 N LONG AVE,<2.0,5/30/17,,,10.3,6/29/17,,,,,7.07,,
PORTAGE,Portage  #7 - Low,"Pool deck, south",4100 N LONG AVE,<2.0,5/30/17,,,32.3,6/29/17,,,,,15.7,113,6.15
PORTAGE,Portage  #8 - High,Playground,4100 N LONG AVE,<2.0,4/6/17,,,,,,,,,0.269,,
PORTAGE,Portage  #8 - Middle,Playground,4100 N LONG AVE,<2.0,4/6/17,,,,,,,,,<0.129,,
PORTAGE,Portage  #8 - Low,Playground,4100 N LONG AVE,<2.0,4/6/17,,,,,,,,,0.159,,
PORTAGE,Portage  #9,"East side of park, south of pool, on path",4100 N LONG AVE,<2.0,4/6/17,,,,,,,,,6.73,,
PORTAGE,Portage  #10,"Between playground and baseball diamond, on path",4100 N LONG AVE,<2.0,4/6/17,,,14.2,6/29/17,5,7/31/17,,,36.8,6.62,0.969
PORTAGE,Portage  #11,"South of ballfields, north of nature garden",4100 N LONG AVE,<2.0,4/6/17,,,83.9,6/29/17,,,,,22.3,,
PORTAGE,Portage  #12 - East,At Central and Irving,4100 N LONG AVE,11.1,4/6/17,,,6.55,6/29/17,,,,,23.2,17,8.71
PORTAGE,Portage  #12 - South,At Central and Irving,4100 N LONG AVE,2.19,4/6/17,,,<2.0,6/29/17,,,,,24.5,16.9,8.9
PORTAGE,Portage  #12 - West,At Central and Irving,4100 N LONG AVE,2.26,4/6/17,,,2.69,6/29/17,,,,,23.3,16.1,8.27
PORTAGE,Portage  #12 - North,At Central and Irving,4100 N LONG AVE,2.67,4/6/17,,,2.29,6/29/17,,,,,29.9,13.8,8.72
PORTAGE,Portage  #13,"South side of park, at Irving and Linder",4100 N LONG AVE,6.01,4/6/17,,,62.4,6/29/17,,,,,75.8,69.1,48.4
PORTAGE,Portage  #14,"Southeast corner of park, Irving and Long",4100 N LONG AVE,5.98,4/6/17,,,403,6/29/17,,,,,43.7,38.1,27.8
POTTAWATTOMIE,Pottawattomie  #1 - High,DOG AREA,7340 N ROGERS AVE,<2.0,5/1/17,,,,,,,,,4.5,,
POTTAWATTOMIE,Pottawattomie  #1 - Low,DOG AREA,7340 N ROGERS AVE,<2.0,5/1/17,,,,,,,,,8.7,,
POTTAWATTOMIE,Pottawattomie  #1 - Dog,DOG AREA,7340 N ROGERS AVE,<2.0,5/1/17,,,,,,,,,<2.0,,
POTTAWATTOMIE,Pottawattomie  #2,AT FARGO AND WOLCOTT ENTRANCE,7340 N ROGERS AVE,2.75,5/1/17,,,,,,,,,3.7,,
POTTAWATTOMIE,Pottawattomie  #3,NORTH EAST CORNER OF PARKING LOT NEAR EQUIPMENT SHED,7340 N ROGERS AVE,10.4,5/1/17,,,140,7/28/17,,,,,30,70,18
POTTAWATTOMIE,Pottawattomie  #4,NORTHEAST CORNER OF TURF SOCCER FIELD,7340 N ROGERS AVE,<2.0,5/1/17,,,,,,,,,2.8,,
POTTAWATTOMIE,Pottawattomie  #5 - High,IN PLAYGROUND,7340 N ROGERS AVE,<2.0,5/1/17,,,,,,,,,<2.0,,
POTTAWATTOMIE,Pottawattomie  #5 - Low,IN PLAYGROUND,7340 N ROGERS AVE,<2.0,5/1/17,,,,,,,,,<2.0,,
PRAIRIE WOLF,Prairie Wolf #1,AT ENTRANCE,6310 S DREXEL AVE,<2.0,4/12/17,,,38.9,6/28/17,,,,,-,,
PRITZKER,Pritzker  #1 - High,Center of park,310-56 S STATE,<2.0,4/20/17,,,,,,,,,<2.0,,
PRITZKER,Pritzker  #1 - Low,Center of park,310-56 S STATE,<2.0,4/20/17,,,,,,,,,<2.0,,
PRIVET,Privet  #1 - High,AT ENTRANCE ON SHEFFIELD,1844 N SHEFFIELD AVE,7.17,4/26/17,,,21.6,7/11/17,,,,,130,,
PRIVET,Privet  #1 - Low,AT ENTRANCE ON SHEFFIELD,1844 N SHEFFIELD AVE,7.09,4/26/17,,,24.8,7/11/17,,,,,-,,
PROSPECT GARDENS,Prospect Gardens #1,NORTHEAST,10970 S PROSPECT AVE,<2.0,4/17/17,,,,,,,,,3.3,,
PROSPECT GARDENS,Prospect Gardens #2,SOUTHWEST,10970 S PROSPECT AVE,<2.0,4/17/17,,,77.4,6/12/17,,,,,23.3,38,2.6
PULASKI (CASIMER),Pulaski  #1,On fieldhouse terrace west,1419 W BLACKHAWK ST,<2.0,3/29/17,,,,,,,,,0.582,,
PULASKI (CASIMER),Pulaski  #2,On fieldhouse terrace east,1419 W BLACKHAWK ST,<2.0,3/29/17,,,,,,,,,1.43,,
PULASKI (CASIMER),Pulaski  #3,"On path, north of spray feature",1419 W BLACKHAWK ST,<2.0,5/2/17,,,,,,,,,<0.12,,
PULASKI (CASIMER),Pulaski  #4,Near spray pool,1419 W BLACKHAWK ST,-,,,,,,,,,,-,,
PULASKI (CASIMER),Pulaski  #5 - High,On pool deck,1419 W BLACKHAWK ST,<2.0,5/9/17,,,,,,,,,1.19,,
PULASKI (CASIMER),Pulaski  #5 - Low,On pool deck,1419 W BLACKHAWK ST,<2.0,5/9/17,,,,,,,,,0.635,,
RAILROAD JUNCTION,Railroad Junction #1,AT ENTRANCE ON MARYLAND,7334 S MARYLAND AVE,2.51,4/11/17,,,50.7,6/29/17,,,,,27.7,61,13
RAINBOW BEACH,Rainbow Beach #1,SOUTH OF MARINE BUILDING ON PATH,2873 E 75TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
RAINBOW BEACH,Rainbow Beach #2,"ON SEAWALL, NORTHEAST SIDE OF PARKINGLOT",2873 E 75TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
RAINBOW BEACH,Rainbow Beach #3,"ON PATH, NORTH SIDE OF PARKING LOT",2873 E 75TH ST,<2.0,4/8/17,,,,,,,,,2.6,,
RAINBOW BEACH,Rainbow Beach #4,HIGH FOUNTAIN ON BEACH HOUSE,2873 E 75TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
RAINBOW BEACH,Rainbow Beach #5,LOW FOUNTAIN ON BEACH HOUSE,2873 E 75TH ST,<2.0,4/8/17,,,,,,,,,<2.0,,
RAINBOW BEACH,Rainbow Beach #6,EAST SIDE OF TENNIS COURT,2873 E 75TH ST,8.55,4/8/17,,,,,,,,,7.3,,
RAINBOW BEACH,Rainbow Beach #7,SOUTHEAST SIDE OF BASEBALL DIAMOND,2873 E 75TH ST,4.33,4/8/17,,,<2.0,5/30/17,<2.0,7/11/17,,,40,<2.0,<2.0
RAINBOW BEACH,Rainbow Beach #8,SOUTH OF FIELDHOUSE,2873 E 75TH ST,-,,,,,,,,,,-,,
RAINEY (EDWARD),Rainey  #1,"BEHIND NORTHWEST BASEBALL DIAMOND, ON PATH",4350 W 79TH ST,<2.0,4/3/17,,,,,,,,,0.207,,
RAINEY (EDWARD),Rainey  #2,"BETWEEN WESTERN BALL FIELDS, ON PATH",4350 W 79TH ST,<2.0,4/3/17,,,,,,,,,0.237,,
RAINEY (EDWARD),Rainey  #3,AT ENTRANCE ON 79TH,4350 W 79TH ST,<2.0,4/3/17,,,,,,,,,10.8,,
RAVENSWOOD MANOR,Ravenswood Manor #1,North side of playground,4626 N MANOR AVE,<2.0,4/17/17,,,,,,,,,<0.128,,
RENAISSANCE,Renaissance  #1 ,AT ENTRANCE ON 79TH AND THROOP,1300 W 79TH ST,12,4/6/17,,,,,,,,,<0.12,,
REVERE (PAUL),Revere  #1,Corner of Irving and Campbell,2509 W IRVING PARK RD,<2.0,5/11/17,,,,,,,,,<0.12,,
REVERE (PAUL),Revere  #2,"On path, behind home plate of northwest diamond",2509 W IRVING PARK RD,<2.0,5/11/17,,,51.1,6/30/17,,,,,32.3,51,3.8
REVERE (PAUL),Revere  #3 - High,West of tennis courts,2509 W IRVING PARK RD,6.35,5/11/17,,,,,,,,,0.16,,
REVERE (PAUL),Revere  #3 - Middle,West of tennis courts,2509 W IRVING PARK RD,7.44,5/11/17,,,,,,,,,0.192,,
REVERE (PAUL),Revere  #3 - Low,West of tennis courts,2509 W IRVING PARK RD,7.63,5/11/17,,,,,,,,,0.298,,
REVERE (PAUL),Revere  #4,"On path, on first base line of southwest diamond",2509 W IRVING PARK RD,2.16,5/11/17,,,,,,,,,13.8,,
REYES (GUADALUPE),Reyes  #1,"North side of park, on 19th",827 W 19TH ST,<2.0,4/11/17,,,3.95,7/17/17,,,,,41,11,7.7
RIDGE,Ridge  #1 - High,TENNIS COURTS,1817 W 96TH ST,16.8,7/15/17,,,,,11,7/25/17,,,-,,
RIDGE,Ridge  #1 - Low,TENNIS COURTS,1817 W 96TH ST,16.8,7/15/17,,,,,9,7/25/17,,,-,,
RIDGE,Ridge  #2,SOUTH OF PARKING LOT ON PATH,1817 W 96TH ST,<2.0,4/15/17,,,,,,,,,12,,
RIDGE,Ridge  #3,EAST OF SOUTHEAST BASEBALL DIAMOND,1817 W 96TH ST,134,6/12/17,,,,,,,,,104,77,5.7
RIIS (JACOB),Riis  #1,"On Wrightwood, east of Moody",6100 W FULLERTON AVE,3.04,6/6/17,,,56.5,8/5/17,,,,,-,,
RIIS (JACOB),Riis  #2,"On Wrightwood, west of Moody",6100 W FULLERTON AVE,<2.0,6/6/17,,,,,,,,,13.1,,
RIIS (JACOB),Riis  #3,On Wrightwood at Melvina,6100 W FULLERTON AVE,3.7,7/14/17,,,,,,,,,2.64,,
RIIS (JACOB),Riis  #4,"On Wrightwood, at Mobile",6100 W FULLERTON AVE,<2.0,4/12/17,,,,,,,,,15.4,<2.0,2
RIIS (JACOB),Riis  #5,"South of tennis court, northwest of track",6100 W FULLERTON AVE,2.04,4/11/17,,,,,,,,,2.79,,
RIIS (JACOB),Riis  #6,East of security building,6100 W FULLERTON AVE,<2.0,4/11/17,,,,,,,,,8.36,,
RIIS (JACOB),Riis  #7,East of Narragansett and Mulligan,6100 W FULLERTON AVE,<2.0,4/8/17,,,,,,,,,10.1,,
RIIS (JACOB),Riis  #8,Southeast of security building,6100 W FULLERTON AVE,<2.0,4/11/17,,,,,,,,,5.36,,
RIIS (JACOB),Riis  #9,North of landscape building,6100 W FULLERTON AVE,<2.0,4/11/17,,,,,,,,,0.308,,
RIIS (JACOB),Riis  #10,North of pool,6100 W FULLERTON AVE,<2.0,4/11/17,,,,,,,,,27.7,3.7,<2.0
RIIS (JACOB),Riis  #11 - High,Spray pool,6100 W FULLERTON AVE,<2.0,6/3/17,,,,,,,,,<0.12,,
RIIS (JACOB),Riis  #11 - Low,Spray pool,6100 W FULLERTON AVE,<2.0,6/3/17,,,,,,,,,<0.12,,
RIIS (JACOB),Riis  #12 - High,At Fullerton and Merrimac,6100 W FULLERTON AVE,3.8,4/11/17,,,,,,,,,70.8,74,5.7
RIIS (JACOB),Riis  #12 - Low,At Fullerton and Merrimac,6100 W FULLERTON AVE,3.8,4/11/17,,,,,,,,,71.7,67,6
RIIS (JACOB),Riis  #13,South of spray pool,6100 W FULLERTON AVE,< 2.0,7/19/17,,,,,,,,,0.179,,
RIIS (JACOB),Riis  #14,On pool building-high,6100 W FULLERTON AVE,<2.0,6/3/17,,,,,,,,,<0.12,,
RIIS (JACOB),Riis  #15,On pool building-low,6100 W FULLERTON AVE,<2.0,6/3/17,,,,,,,,,<0.12,,
RIIS (JACOB),Riis  #16,On pool deck,6100 W FULLERTON AVE,<2.0,6/3/17,,,,,,,,,2.21,,
RIVER,River  #1,Northwest of tennis courts,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,0.462,,
RIVER,River  #2 - High,Deck of spraypool,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,0.219,,
RIVER,River  #2 - Low,Deck of spraypool,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,0.445,,
RIVER,River  #3,Deck of swimming pool,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,0.17,,
RIVER,River  #4 - High,In playlot,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
RIVER,River  #4 - Middle,In playlot,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
RIVER,River  #4 - Low,In playlot,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
RIVER,River  #5 - High,In dog area,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
RIVER,River  #5 - Low,In dog area,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
RIVER,River  #5 - Dog,In dog area,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,<0.12,,
RIVER,River  #6,West of sand volleyball court,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,2.68,,
RIVER,River  #7,"Centered halfway between river and Francisco, at about Winnemac",5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,4.13,,
RIVER,River  #8 - High,Boathouse at West River park,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,0.593,,
RIVER,River  #8 - Low,Boathouse at West River park,5100 N FRANCISCO AVE,<2.0,4/20/17,,,,,,,,,0.654,,
ROBERTS (DANIEL) SQUARE,Roberts Square #1,"Southwest corner of park, at Argyle and Lockwood",5230 W ARGYLE ST,<2.0,4/4/17,,,,,,,,,3.72,,
ROBICHAUX (JOSEPH),Robichaux  #1,SOUTHEAST CORNER OF FIELDHOUSE,9247 S EGGLESTON AVE,<2.0,4/18/17,,,,,,,,,11.3,,
ROBICHAUX (JOSEPH),Robichaux  #2,ON PATH NORTH OF 92ND,9247 S EGGLESTON AVE,10.1,4/18/17,,,,,,,,,0.782,,
ROBICHAUX (JOSEPH),Robichaux  #3,ON PATH AT 91ST,9247 S EGGLESTON AVE,4.33,4/18/17,,,19.2,6/27/17,,,,,38.4,23,20
ROBINSON (JACKIE),Robinson  #1 - High,NORTH OF FIELDHOUSE,10540 S MORGAN ST,<2.0,4/22/17,,,,,,,,,0.635,,
ROBINSON (JACKIE),Robinson  #1 - Middle,NORTH OF FIELDHOUSE,10540 S MORGAN ST,<2.0,4/22/17,,,,,,,,,4.26,,
ROBINSON (JACKIE),Robinson  #1 - Low,NORTH OF FIELDHOUSE,10540 S MORGAN ST,<2.0,4/22/17,,,,,,,,,2.99,,
ROBINSON (JACKIE),Robinson  #2,"SOUTH SIDE OF PARK, AT MORGAN",10540 S MORGAN ST,2.94,4/22/17,,,,,,,,,14.6,,
ROGERS (PHILLIP),Rogers  #1,Southeast corner of Rockwell parking lot,7345 N WASHTENAW AVE,2.65,4/15/17,,,171,8/19/17,,,,,28.3,48,4.1
ROGERS (PHILLIP),Rogers  #2,Between two play areas,7345 N WASHTENAW AVE,<2.0,4/15/17,,,,,,,,,14.7,,
ROGERS (PHILLIP),Rogers  #3,"On path, east of playground",7345 N WASHTENAW AVE,<2.0,4/15/17,,,,,,,,,5.19,,
ROGERS (PHILLIP),Rogers  #4,"On path, about Chase and Rockwell",7345 N WASHTENAW AVE,<2.0,4/15/17,,,22.8,8/19/17,,,,,16,6.6,<2.0
ROGERS (PHILLIP) BEACH,Rogers Beach #1 - High,NORTHWEST CORNER OF TENNIS COURTS,7705 N EASTLAKE TERRACE,2.9,4/15/17,,,7.34,6/3/17,21,7/20/17,,,37,35,9.2
ROGERS (PHILLIP) BEACH,Rogers Beach #1 - Low,NORTHWEST CORNER OF TENNIS COURTS,7705 N EASTLAKE TERRACE,2.88,4/15/17,,,11.1,6/3/17,,,,,35,33,9.2
RONAN (GEORGE),Ronan  #1 - High,South of playlot,3000 W ARGYLE ST,<2.0,4/21/17,,,,,,,,,0.261,,
RONAN (GEORGE),Ronan  #1 - Low,South of playlot,3000 W ARGYLE ST,<2.0,4/21/17,,,,,,,,,0.145,,
RONAN (GEORGE),Ronan  #1 - Dog,South of playlot,3000 W ARGYLE ST,<2.0,4/21/17,,,,,,,,,0.204,,
RONAN (GEORGE),Ronan  #2 - High,North of Lawrence on path,3000 W ARGYLE ST,3.85,4/21/17,,,,,,,,,0.194,,
RONAN (GEORGE),Ronan  #2 - Low,North of Lawrence on path,3000 W ARGYLE ST,<2.0,4/21/17,,,,,,,,,0.229,,
ROOSEVELT (THEODORE),Roosevelt  #1,"East side of park, north of tennis courts",62 W ROOSEVELT RD,3.73,4/19/17,,,3.9,6/5/17,,,,,22,160,21
ROSEDALE,Rosedale  #1 - High,Spray feature,6312 W ROSEDALE AVE,4.36,3/29/17,,,,,,,,,2.28,,
ROSEDALE,Rosedale  #1 - Middle,Spray feature,6312 W ROSEDALE AVE,-,,,,,,,,,,0.479,,
ROSEDALE,Rosedale  #1 - Low,Spray feature,6312 W ROSEDALE AVE,-,,,,,,,,,,0.546,,
ROSEDALE,Rosedale  #2,West side of fieldhouse,6312 W ROSEDALE AVE,<2.0,3/29/17,,,,,,,,,0.99,,
ROSENBLUM (J. LESLIE),Rosenblum  #1 - High,"EAST OF SPRAYPOOL, NW CORNER",7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,<2.0,,
ROSENBLUM (J. LESLIE),Rosenblum  #1 - Middle,"EAST OF SPRAYPOOL, NW CORNER",7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,-,,
ROSENBLUM (J. LESLIE),Rosenblum  #1 - Low,"EAST OF SPRAYPOOL, NW CORNER",7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,0.487,,
ROSENBLUM (J. LESLIE),Rosenblum  #2 - High,CENTER OF RUNNING TRACK ON 75TH,7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,2.6,,
ROSENBLUM (J. LESLIE),Rosenblum  #2 - Low,CENTER OF RUNNING TRACK ON 75TH,7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,2.06,,
ROSENBLUM (J. LESLIE),Rosenblum  #3 - High,CENTER OF RUNNING TRACK ON 76TH,7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,0.941,,
ROSENBLUM (J. LESLIE),Rosenblum  #3 - Low,CENTER OF RUNNING TRACK ON 76TH,7547 S EUCLID AVE,<2.0,4/15/17,,,,,,,,,0.842,,
ROWAN (WILLIAM),Rowan  #1,ON PATH FROM ENTRANCE FROM AVENUE O,11546 S AVENUE L,7.27,5/6/17,,,5.07,6/28/17,,,,,67,57,9.9
ROWAN (WILLIAM),Rowan  #2,"BEHIND NORTHEAST DIAMOND, ON PATH",11546 S AVENUE L,<2.0,5/6/17,,,5.38,6/28/17,,,,,17,60,4.6
ROWAN (WILLIAM),Rowan  #3 - High,"NORTH SIDE OF FIELDHOUSE, ON PATH",11546 S AVENUE L,<2.0,5/6/17,,,,,,,,,<2.0,,
