park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
BESSEMER (HENRY),Bessemer  #4,ACROSS PATH FROM TENNIS COURTS,8930 S MUSKEGON AVE,2.71,5/4/17,,,,,,,,,6.4,,
BESSEMER (HENRY),Bessemer  #5,50' NORTH OF SOUTH CHICAGO BETWEEN BASEBALL DIAMONDS,8930 S MUSKEGON AVE,<2.0,5/4/17,,,,,,,,,<2.0,,
BESSEMER (HENRY),Bessemer  #6,Behind Pool,8930 S MUSKEGON AVE,4.64,6/21/17,,,,,,,,,-,,
BEVERLY,Beverly  #1,MAPLEWOOD AND 101ST PLACE,2460 W 102ND ST,<2.0,4/14/17,,,,,,,,,13.9,,
BEVERLY,Beverly  #2 - High,SOUTH OF FIELDHOUSE ON WALKING PATH,2460 W 102ND ST,<2.0,4/14/17,,,,,,,,,0.519,,
BEVERLY,Beverly  #2 - Low,SOUTH OF FIELDHOUSE ON WALKING PATH,2460 W 102ND ST,<2.0,4/14/17,,,,,,,,,0.523,,
BEVERLY,Beverly  #2 - Dog,SOUTH OF FIELDHOUSE ON WALKING PATH,2460 W 102ND ST,<2.0,4/14/17,,,,,,,,,0.549,,
BEVERLY,Beverly  #3 - High,ON CENTRAL PATH FROM 103RD,2460 W 102ND ST,<2.0,4/14/17,,,<2.0,6/10/17,,,,,91.4,38,2.1
BEVERLY,Beverly  #3 - Low,ON CENTRAL PATH FROM 103RD,2460 W 102ND ST,-,,,,<2.0,6/10/17,,,,,-,,
BIG MARSH,Big Marsh #1 - BF,Bike Park Entrance,1958 E 116th Street,<2.0,5/30/17,,,,,,,,,-,,
BIG MARSH,Big Marsh #1 - Middle,Bike Park Entrance,1958 E 116th Street,<2.0,5/30/17,,,<2.0,7/3/17,,,,,-,,
BIG MARSH,Big Marsh #1 - Low,Bike Park Entrance,1958 E 116th Street,<2.0,5/30/17,,,<2.0,7/3/17,,,,,-,,
BIRCH,Birch  #1 - High,Inside entrance,427 E 45TH ST,<2.0,4/27/17,,,,,,,,,<2.0,,
BIRCH,Birch  #1 - Low,Inside entrance,427 E 45TH ST,<2.0,4/27/17,,,,,,,,,<2.0,,
BIXLER (RAY),Bixler  #1 ,INSIDE PLAYGROUND FENCE,5641 S KENWOOD AVE,<2.0,4/13/17,,,,,,,,,0.176,,
BIXLER (RAY),Bixler  #2,SOUTH OF PLAYGROUND FENCE,5641 S KENWOOD AVE,<2.0,4/17/17,,,<2.0,6/30/17,,,,,-,,
BLACKHAWK,Blackhawk  #1,Southeast corner of playground,2318 N LAVERGNE AVE,<2.0,4/12/17,,,22,7/15/17,,,,,22.1,20,<2.0
BLACKHAWK,Blackhawk  #2,"Southwest corner of fieldhouse, on path from Lawler entrance",2318 N LAVERGNE AVE,4.25,4/12/17,,,43.5,7/15/17,,,,,23.3,21,3.5
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - High,AT ENTRANCE ON 115TH,11500 S HOMEWOOD AVE,<2.0,4/17/17,,,,,,,,,0.299,,
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - Middle,AT ENTRANCE ON 115TH,11500 S HOMEWOOD AVE,<2.0,4/17/17,,,,,,,,,0.311,,
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #1 - Low,AT ENTRANCE ON 115TH,11500 S HOMEWOOD AVE,<2.0,4/17/17,,,,,,,,,0.361,,
"BLACKWELDER (I.S., GERTRUDE)",Blackwelder  #2,"NORTH OF BASKETBALL COURT, ON PATH",11500 S HOMEWOOD AVE,-,,,,,,,,,,-,,
BOGAN (WILLIAM),Bogan  #1,"NORTH END OF PARK, ON PATH, NEAR SCHOOL",3939 W 79TH ST,-,,,,,,,,,,-,,
BOGAN (WILLIAM),Bogan  #2,"BEHIND HOME PLATE OF SOUTHERNMOST DIAMOND, ON PATH",3939 W 79TH ST,<2.0,4/3/17,,,,,,,,,0.662,,
BOGAN (WILLIAM),Bogan  #3 - High,NEAR PLAYLOT,3939 W 79TH ST,<2.0,4/3/17,,,,,,,,,2.69,,
BOGAN (WILLIAM),Bogan  #3 - Low,NEAR PLAYLOT,3939 W 79TH ST,<2.0,4/3/17,,,,,,,,,3.09,,
BOSLEY (WILLIAM),Bosley  #1,Northwest corner of field house,3044 S BONFIELD ST,<2.0,4/14/17,,,,,,,,,3.11,,
BOSWELL (ARNITA YOUNG),Boswell  #1 - High,INSIDE ENTRANCE ON UNIVERSITY,6646 S UNIVERSITY AVE,<2.0,4/11/17,,,<2.0,6/30/17,,,,,17.8,37,5.9
BOSWELL (ARNITA YOUNG),Boswell  #1 - Low,INSIDE ENTRANCE ON UNIVERSITY,6646 S UNIVERSITY AVE,<2.0,4/11/17,,,<2.0,6/30/17,,,,,17.7,37,6.4
BRADLEY (JOSEPHINE),Bradley  #1,NORTHEAST CORNER OF TENNIS COURTS,9729 S YATES AVE,157,5/5/17,<2.0,6/1/17,11.8,7/20/17,16.5,8/8/17,,,-,,
BRADLEY (JOSEPHINE),Bradley  #2,"ON YATES, WEST OF FIELDHOUSE",9729 S YATES AVE,<2.0,5/5/17,,,,,,,,,3,,
